# This dataset provides a comprehensive look at Airbnb prices in London. ,,,,,,,,,,,,,,,,,
# The dataset includes information such as realSum (the total price of the listing); multi (indicator if the listing belongs to hosts with 2-4 offers); biz (indicator if the listing belongs to hosts with more than 4 offers); bedrooms (0 for studios); dist (distance from city center) ; attr_index (accessibility of attractions within the city); rest_index (accessibility of restaurants within the city) etc. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,rest_index,lng,lat
0,121.12,Private room,FALSE,TRUE,2,FALSE,0,0,6,69,1,5.734116657,0.43709398,222.8822431,470.0885025,-0.04975,51.5257
1,195.91,Private room,FALSE,TRUE,2,FALSE,1,0,10,96,1,4.788905047,1.464050477,235.3858411,530.1335249,-0.08475,51.5421
2,193.33,Private room,FALSE,TRUE,3,FALSE,1,0,10,95,1,4.596677136,0.45030619,268.913812,548.9876101,-0.14585,51.54802
3,180.39,Private room,FALSE,TRUE,2,FALSE,1,0,9,87,1,2.054769149,0.132670489,472.381314,1021.271062,-0.10611,51.52108
4,405.7,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,7,65,0,4.491276914,0.354107529,318.4914698,692.7754112,-0.18797,51.49399
5,354.19,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,93,0,4.467894005,0.350749431,321.8646004,703.068564,-0.18805,51.49473
6,430.4,Private room,FALSE,TRUE,2,TRUE,0,1,10,97,1,1.787295138,0.2538267,509.0989463,1071.720709,-0.11023,51.52023
7,244.83,Private room,FALSE,TRUE,2,,0,1,9,88,1,2.430836136,0.546798608,412.0571468,932.6661926,-0.11644,51.52905
8,438.16,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,87,1,1.490442053,0.126230054,575.9233366,1454.379423,-0.13621,51.52057
9,128.88,Private room,FALSE,TRUE,2,TRUE,1,0,10,97,1,12.80667332,5.292437862,96.53629478,195.8358965,0.03848,51.45827
10,315.62,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,8,89,2,7.723490576,1.292701218,158.1776952,331.3446616,-0.02747,51.53871
11,567.04,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,98,1,5.301028573,1.588976258,209.6321923,467.6004844,-0.16032,51.46531
12,159.69,Private room,FALSE,,2,FALSE,0,0,10,98,1,5.502306364,0.730634303,197.2479414,415.459984,-0.12619,51.45888
13,152.17,Private room,FALSE,TRUE,2,FALSE,1,0,10,98,1,6.871355187,0.475542764,181.4712775,382.3520973,-0.03435,51.52919
14,85.14,Private room,FALSE,TRUE,2,FALSE,1,0,10,100,1,15.97860308,5.743829006,75.16619217,153.4667,0.1,51.487
15,1133.85,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,9,93,3,3.409038036,0.177900293,548.1838078,845.935201,-0.17132,51.4945
16,132.65,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,8.252562744,3.090115613,135.375033,282.6466018,-0.10775,51.43519
17,296.57,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,2.198941137,0.379274823,553.8948535,961.4784025,-0.09683,51.50343
18,335.14,Private room,FALSE,TRUE,2,FALSE,1,0,10,96,1,2.322966642,0.453173852,428.2871569,959.041596,-0.10554,51.52407
19,348.08,Private room,FALSE,TRUE,2,FALSE,1,0,10,97,1,2.712212673,0.359782541,385.8297942,848.3882783,-0.10624,51.52877
20,618.31,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,99,1,3.188432978,0.502466591,334.3508764,752.9851285,-0.09902,51.5308
21,232.13,Private room,FALSE,TRUE,2,FALSE,1,0,5,70,1,6.599720666,1.622318595,168.4182796,346.8778838,-0.09949,51.45165
22,185.56,Private room,FALSE,TRUE,2,FALSE,1,0,9,93,1,6.72610622,1.720584616,165.4081443,340.2687693,-0.09961,51.45044
23,219.2,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,91,1,5.367969603,0.464829507,245.4238149,517.7948369,-0.05293,51.52105
24,538.58,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,98,2,4.729047653,0.483264123,227.727579,454.6847519,-0.11307,51.46679
25,116.18,Private room,FALSE,TRUE,2,FALSE,1,0,10,97,1,9.241976415,5.420590901,129.4868399,260.841087,-0.03116,51.45106
26,128.88,Private room,FALSE,TRUE,2,FALSE,0,1,10,95,1,13.92965234,4.965367033,88.02233774,180.0593019,0.0685,51.48184
27,141.82,Private room,FALSE,TRUE,2,TRUE,0,0,10,97,1,7.398967858,3.263459501,165.5515466,324.8494829,-0.04098,51.46955
28,225.55,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,5.707848381,1.723960193,195.6938959,452.231611,-0.16575,51.46292
29,203.67,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,93,0,5.806479788,0.148016431,200.4440588,472.9541319,-0.181,51.54845
30,281.05,Private room,FALSE,TRUE,3,FALSE,0,0,9,98,1,3.257927659,0.82539952,329.4788703,735.3318806,-0.12055,51.53728
31,142.05,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,11.90971188,6.710908979,100.8333761,204.4988019,0.00475,51.44025
32,177.8,Private room,FALSE,TRUE,2,TRUE,1,0,10,96,1,7.821555566,0.458940988,142.1794169,321.0394506,-0.15779,51.44062
33,128.88,Private room,FALSE,TRUE,2,FALSE,1,0,10,100,1,10.93354356,3.84248922,118.017097,239.9807478,0.01512,51.46678
34,1339.87,Private room,FALSE,TRUE,2,FALSE,0,0,10,97,1,9.751789564,0.358690162,114.7540059,272.2496909,-0.16977,51.42475
35,322.21,Private room,FALSE,TRUE,2,FALSE,0,0,10,98,1,5.173375202,1.348299068,240.7159058,444.7764337,-0.06218,51.48599
36,199.68,Private room,FALSE,TRUE,2,FALSE,0,1,8,80,1,1.251557998,0.267621162,635.7202582,1751.109881,-0.13526,51.51848
37,398.17,Private room,FALSE,TRUE,2,FALSE,0,1,8,80,1,1.495254301,0.124382471,575.0603299,1442.971387,-0.1362,51.52062
38,2.2,Shared room,TRUE,FALSE,2,FALSE,1,0,9,91,1,5.930434317,0.68284077,208.6204568,449.0587859,-0.05167,51.53286
39,168.87,Private room,FALSE,TRUE,2,TRUE,0,0,10,97,1,4.421775755,0.478959279,240.8280066,469.6835153,-0.1179,51.46904
40,,,,TRUE,2,TRUE,0,,9,94,0,4.557290451,0.333525341,,,-0.19161,51.51715
41,139.47,Private room,FALSE,TRUE,2,FALSE,1,0,9,90,1,5.317811872,0.103249436,241.4343126,525.672879,-0.057,51.527
42,125.59,Private room,FALSE,TRUE,2,FALSE,1,0,9,89,1,5.317800248,0.103262272,241.4347369,525.675685,-0.057,51.527
43,208.85,Private room,FALSE,TRUE,2,FALSE,0,0,8,80,1,2.061645584,0.440254709,560.3034171,977.9229523,-0.09876,51.5037
44,238.48,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,5.08573106,1.806239098,226.7247206,486.7364392,-0.17241,51.47222
45,90.31,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,4.010848744,1.669445804,269.4632075,538.001799,-0.14941,51.47497
46,212.61,Private room,FALSE,TRUE,3,FALSE,0,1,9,93,1,5.0202504,0.69655182,234.5005669,502.3834265,-0.17152,51.54413
47,425.22,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,3.800304984,0.791460486,468.5757063,717.4258786,-0.0739,51.50146
48,154.52,Private room,FALSE,TRUE,2,FALSE,0,0,10,99,1,11.27514532,2.713235431,114.6455472,228.4919165,0.02934,51.48221
49,226.96,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,80,0,3.678835905,0.362326694,336.7453933,786.0738779,-0.1798,51.51367
50,322.21,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,4.595032598,0.296897484,283.4438665,682.1899393,-0.19359,51.51061
51,1666.08,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,90,3,5.349647442,0.37571869,218.8146712,474.013283,-0.16926,51.54874
52,180.39,Private room,FALSE,TRUE,2,FALSE,1,0,10,95,1,5.102442486,1.013719946,214.2644454,453.6693927,-0.15177,51.46504
53,412.29,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,100,2,3.538608893,0.513620223,303.8750688,836.4246171,-0.10315,51.53626
54,481.9,Entire home/apt,FALSE,FALSE,3,FALSE,1,0,10,95,1,1.768766492,0.225017792,597.2463331,1127.92822,-0.10348,51.5136
55,128.88,Private room,FALSE,TRUE,4,FALSE,1,0,9,93,1,4.534020147,1.772816619,257.4461643,541.2196364,-0.16972,51.47724
